BSSID;SSID;room;num_measurements;mean;stddev
00:1b:90:76:d3:f4;tudelft-dastud;C7_AISLE7;240;-55,27916667;5,920779603
00:1b:90:76:d3:f4;tudelft-dastud;C8_AISLE8;180;-64,56111111;4,890035346
00:1b:90:76:d3:f4;tudelft-dastud;C9_AISLE9;239;-69,55648536;3,543835604
00:1b:90:76:d3:f6;Conferentie-TUD;C1_AISLE1;173;-75,53757225;3,230492241
00:1b:90:76:d3:f6;Conferentie-TUD;C10_AISLE10;174;-70,98275862;3,055316863
00:1b:90:76:d3:f6;Conferentie-TUD;C12_CONF_TOP;1;-76;
00:1b:90:76:d3:f6;Conferentie-TUD;C13_COFFEE;21;-73,66666667;4,066120182
00:1b:90:76:d3:f6;Conferentie-TUD;C14_PLEA;35;-77,31428571;5,267946517
00:1b:90:76:d3:f6;Conferentie-TUD;C15_MTG;160;-77,3375;3,462081208
00:1b:90:76:d3:f6;Conferentie-TUD;C16_FLEX_BTM;233;-76,09012876;2,36998772
00:1b:90:76:d3:f6;Conferentie-TUD;C17_FLEX_TOP;66;-78,1969697;2,655732244
00:1b:90:76:d3:f6;Conferentie-TUD;C2_AISLE2;179;-75,22905028;2,980846101
00:1b:90:76:d3:f6;Conferentie-TUD;C3_AISLE3;179;-71,44134078;5,084750322
00:1b:90:76:d3:f6;Conferentie-TUD;C4_AISLE4;239;-65,74895397;6,897489873
00:1b:90:76:d3:f6;Conferentie-TUD;C5_AISLE5;119;-60,44537815;5,345198192
00:1b:90:76:d3:f6;Conferentie-TUD;C6_AISLE6;180;-47,97222222;6,250301048
00:1b:90:76:d3:f6;Conferentie-TUD;C7_AISLE7;240;-56,63333333;6,054747898
00:1b:90:76:d3:f6;Conferentie-TUD;C8_AISLE8;180;-65,78333333;5,163554057
00:1b:90:76:d3:f6;Conferentie-TUD;C9_AISLE9;240;-70,5375;3,537996088
00:1b:b1:ef:b0:9c;BW1082;C1_AISLE1;18;-90,66666667;1,283377896
00:1b:b1:ef:b0:9c;BW1082;C12_CONF_TOP;6;-91;0
00:1d:19:99:4b:d7;kvz360;C13_COFFEE;10;-92;0
00:1d:19:99:4b:d7;kvz360;C16_FLEX_BTM;6;-90;0
00:1d:c9:07:24:b1;PHEVBP;C11_CONF_BTM;6;-89;0
00:1d:c9:07:24:b1;PHEVBP;C9_AISLE9;9;-87;0
00:1e:c1:4d:0a:be;hordijkdelft;C1_AISLE1;57;-88,89473684;2,023824266
00:1e:c1:4d:0a:be;hordijkdelft;C2_AISLE2;10;-90,6;1,264911064
00:22:f7:20:a1:98;C150BRS4;C1_AISLE1;33;-87,54545455;0,794154782
00:22:f7:20:a1:98;C150BRS4;C10_AISLE10;10;-90,4;5,059644256
00:22:f7:20:a1:98;C150BRS4;C12_CONF_TOP;1;-83;
00:22:f7:20:a1:98;C150BRS4;C13_COFFEE;17;-89,82352941;2,324739075
00:22:f7:20:a1:98;C150BRS4;C14_PLEA;25;-90,36;2,177154106
00:22:f7:20:a1:98;C150BRS4;C15_MTG;159;-88,24528302;2,591898237
00:22:f7:20:a1:98;C150BRS4;C16_FLEX_BTM;88;-87,44318182;2,154161727
00:22:f7:20:a1:98;C150BRS4;C17_FLEX_TOP;12;-90;0
00:22:f7:20:a1:98;C150BRS4;C2_AISLE2;89;-89,79775281;2,169938077
00:22:f7:20:a1:98;C150BRS4;C3_AISLE3;163;-87,3803681;3,095613362
00:22:f7:20:a1:98;C150BRS4;C4_AISLE4;239;-82,10878661;5,056475816
00:22:f7:20:a1:98;C150BRS4;C5_AISLE5;119;-68,95798319;4,771729882
00:22:f7:20:a1:98;C150BRS4;C6_AISLE6;180;-76,55;3,87986494
00:22:f7:20:a1:98;C150BRS4;C7_AISLE7;236;-82,3220339;3,287322796
00:22:f7:20:a1:98;C150BRS4;C8_AISLE8;152;-87,80263158;1,631800995
00:22:f7:20:a1:98;C150BRS4;C9_AISLE9;53;-88,47169811;2,350153625
00:23:6c:8a:47:70;VaLi;C7_AISLE7;15;-88,6;2,028370211
00:23:6c:8a:47:70;VaLi;C8_AISLE8;8;-88;0
00:24:01:24:6d:21;EWI public;C1_AISLE1;6;-89;0
00:24:97:17:6f:d0;;C1_AISLE1;6;-86;0
00:24:97:17:6f:d0;;C11_CONF_BTM;3;-87;0
00:24:97:17:6f:d0;;C12_CONF_TOP;1;-87;
00:25:86:4c:5d:14;TP-LINK_4C5D14;C10_AISLE10;43;-85,88372093;1,650530973
00:25:86:4c:5d:14;TP-LINK_4C5D14;C17_FLEX_TOP;6;-89;0
00:25:86:4c:5d:14;TP-LINK_4C5D14;C9_AISLE9;28;-86,07142857;3,287784027
00:25:9c:2b:61:ea;Wireless KTV;C10_AISLE10;6;-88;0
00:25:9c:ca:87:ee;mfold-linksys;C1_AISLE1;110;-87,45454545;2,375858565
00:25:9c:ca:87:ee;mfold-linksys;C10_AISLE10;129;-85,80620155;3,013193694
00:25:9c:ca:87:ee;mfold-linksys;C12_CONF_TOP;1;-81;
00:25:9c:ca:87:ee;mfold-linksys;C13_COFFEE;11;-80,36363636;0,924416278
00:25:9c:ca:87:ee;mfold-linksys;C14_PLEA;137;-88,65693431;2,771806472
00:25:9c:ca:87:ee;mfold-linksys;C15_MTG;172;-84,87790698;3,280668209
00:25:9c:ca:87:ee;mfold-linksys;C16_FLEX_BTM;183;-85,96174863;2,939623434
00:25:9c:ca:87:ee;mfold-linksys;C17_FLEX_TOP;58;-87,20689655;1,784520386
00:25:9c:ca:87:ee;mfold-linksys;C2_AISLE2;150;-86,41333333;2,53349817
